__typename,id,leaderboardSortOrder,player_id,player_firstName,player_lastName,player_amateur,player_displayName,player_abbreviations,player_abbreviationsAccessibilityText,player_country,player_countryFlag,player_shortName,player_lineColor,player_tourBound,scoringData_position,scoringData_total,scoringData_totalSort,scoringData_thru,scoringData_thruSort,scoringData_score,scoringData_scoreSort,scoringData_courseId,scoringData_groupNumber,scoringData_currentRound,scoringData_oddsToWin,scoringData_oddsSwing,scoringData_oddsOptionId,scoringData_oddsSort,scoringData_backNine,scoringData_roundHeader,scoringData_rounds_0,scoringData_rounds_1,scoringData_rounds_2,scoringData_rounds_3,scoringData_movementDirection,scoringData_movementAmount,scoringData_playerState,scoringData_rankingMovement,scoringData_rankingMovementAmount,scoringData_rankingMovementAmountSort,scoringData_totalStrokes,scoringData_official,scoringData_officialSort,scoringData_projected,scoringData_projectedSort,scoringData_hasStoryContent,scoringData_storyContentRound,scoringData_storyContentRounds_0,scoringData_roundStatus
PlayerRowV3,27408,30,27408,Martin,Kaymer,False,Martin Kaymer,,,GER,GER,M. Kaymer,#0084FF,False,T25,-3,-3,4*,4,E,0,671,44,2,+50000,UP,e8efdbd4-d87b-40d6-83b7-8b8c8d051279,0.002,True,R2,68,-,-,-,DOWN,-7,ACTIVE,CONSTANT,-,-9999,68,-,9999,-,9999,True,1,1,
PlayerRowV3,46717,31,46717,Viktor,Hovland,False,Viktor Hovland,,,NOR,NOR,V. Hovland,#0084FF,False,T25,-3,-3,1,1,E,0,671,33,2,+5000,DOWN,da217222-48b7-470b-9874-fe41aaa79447,0.0196,False,R2,68,-,-,-,DOWN,-7,ACTIVE,UP,+5,5,68,89,89,84,84,True,1,1,
PlayerRowV3,36689,32,36689,Brooks,Koepka,False,Brooks Koepka,,,USA,USA,B. Koepka,#0084FF,False,T25,-3,-3,1,1,+1,1,671,34,2,+1800,DOWN,2264f6c1-450d-4171-9aa4-a6cde3356562,0.0526,False,R2,67,-,-,-,DOWN,-13,ACTIVE,CONSTANT,-,-9999,67,-,9999,-,9999,True,1,1,
PlayerRowV3,39977,33,39977,Max,Homa,False,Max Homa,,,USA,USA,M. Homa,#0084FF,False,T25,-3,-3,1,1,E,0,671,34,2,+5000,DOWN,b6700521-c13a-4387-a4c9-3ef80f625113,0.0196,False,R2,68,-,-,-,DOWN,-7,ACTIVE,CONSTANT,-,0,68,15,15,15,15,True,1,1,
PlayerRowV3,48117,34,48117,Kurt,Kitayama,False,Kurt Kitayama,,,USA,USA,K. Kitayama,#0084FF,False,T25,-3,-3,,0,,10000,1715974080000,671,48,2,+15000,DOWN,2cacd354-957c-426e-a23a-16a064783ed5,0.0066,True,R2,68,-,-,-,DOWN,-7,ACTIVE,UP,+2,2,68,72,72,70,70,True,1,1,
PlayerRowV3,47959,35,47959,Bryson,DeChambeau,False,Bryson DeChambeau,,,USA,USA,B. DeChambeau,#0084FF,False,T25,-3,-3,,0,,10000,1715975040000,671,36,2,+5000,DOWN,1e551bdd-6289-4db8-9e2a-891471eea677,0.0217,False,R2,68,-,-,-,DOWN,-7,ACTIVE,CONSTANT,-,-9999,68,-,9999,-,9999,True,1,1,
PlayerRowV3,46405,36,46405,Sebastian,Soderberg,False,Sebastian Soderberg,,,SWE,SWE,S. Soderberg,#0084FF,False,T37,-2,-2,F,19,-4,-4,671,1,2,+100000,DOWN,e8939b16-3875-4a8f-86ca-eb296ad6fe28,0.001,False,R2,73,67,-,-,UP,71,COMPLETE,CONSTANT,-,-9999,140,-,9999,-,9999,True,R2 Completed
PlayerRowV3,34256,37,34256,Andrew,Putnam,False,Andrew Putnam,,,USA,USA,A. Putnam,#0084FF,False,T37,-2,-2,F,19,+1,1,671,3,2,+40000,DOWN,dbd22837-f621-48fe-ac9c-7fe91299d780,0.0025,False,R2,68,72,-,-,DOWN,-19,COMPLETE,DOWN,-1,-1,140,58,58,59,59,True,R2 Completed
PlayerRowV3,31323,38,31323,Gary,Woodland,False,Gary Woodland,,,USA,USA,G. Woodland,#0084FF,False,T37,-2,-2,F*,19,-2,-2,671,19,2,True,R2,71,69,-,-,UP,28,COMPLETE,UP,+8,8,140,157,157,149,149,True,R2 Completed
PlayerRowV3,52686,39,52686,Rasmus,Højgaard,False,Rasmus Højgaard,,,DEN,DEN,R. Højgaard,#0084FF,False,T37,-2,-2,F,19,+1,1,671,7,2,+10000,UP,4ad26728-c8ba-49f3-9828-ccd7a2ba44d5,0.0099,False,R2,68,72,-,-,DOWN,-19,COMPLETE,CONSTANT,-,-9999,140,-,9999,-,9999,True,R2 Completed
PlayerRowV3,57366,40,57366,Cameron,Young,False,Cameron Young,,,USA,USA,Cam. Young,#0084FF,False,T37,-2,-2,F*,19,E,0,671,21,2,+50000,DOWN,56d78490-a6c2-4b4f-adcf-ec84f152574a,0.002,True,R2,69,71,-,-,DOWN,-5,COMPLETE,DOWN,-2,-2,140,31,31,33,33,True,1,1,R2 Completed
PlayerRowV3,27644,41,27644,Brian,Harman,False,Brian Harman,,,USA,USA,B. Harman,#0084FF,False,T37,-2,-2,F*,19,-3,-3,671,22,2,+50000,DOWN,6c76bf0e-6b5c-47bf-bdff-27474603140d,0.002,True,R2,72,68,-,-,UP,48,COMPLETE,DOWN,-5,-5,140,17,17,22,22,True,1,1,R2 Completed
PlayerRowV3,33968,42,33968,Thorbjørn,Olesen,False,Thorbjørn Olesen,,,DEN,DEN,T. Olesen,#0084FF,False,T37,-2,-2,F,19,E,0,671,10,2,+30000,CONSTANT,41fe0e22-32d5-4302-be08-e9e24e53b611,0.0033,False,R2,69,71,-,-,DOWN,-5,COMPLETE,UP,+7,7,140,154,154,147,147,True,R2 Completed
PlayerRowV3,30927,43,30927,Brendon,Todd,False,Brendon Todd,,,USA,USA,B. Todd,#0084FF,False,T37,-2,-2,F,19,-1,-1,671,10,2,False,R2,70,70,-,-,UP,10,COMPLETE,CONSTANT,-,0,140,57,57,57,57,True,R2 Completed
PlayerRowV3,50188,44,50188,S.H.,Kim,False,S.H. Kim,,,KOR,KOR,S.H. Kim,#0084FF,False,T37,-2,-2,15*,15,E,0,671,26,2,+50000,DOWN,16704506-8e72-4072-8140-60846f32a95d,0.002,True,R2,69,-,-,-,DOWN,-5,ACTIVE,CONSTANT,-,0,69,91,91,91,91,True,
PlayerRowV3,39058,45,39058,Lucas,Herbert,False,Lucas Herbert,,,AUS,AUS,L. Herbert,#0084FF,False,T37,-2,-2,5,5,E,0,671,28,2,+50000,DOWN,2be7abc3-a73c-40ff-9822-a6ba1bce5085,0.002,False,R2,69,-,-,-,DOWN,-5,ACTIVE,CONSTANT,-,-9999,69,-,9999,-,9999,True,
PlayerRowV3,25900,46,25900,Lucas,Glover,False,Lucas Glover,,,USA,USA,L. Glover,#0084FF,False,T37,-2,-2,4,4,-2,-2,671,29,2,+100000,DOWN,b7ab2516-fe1a-42eb-925d-12b7f57fe6f6,0.001,False,R2,71,-,-,-,UP,28,ACTIVE,DOWN,-3,-3,71,60,60,63,63,True,
PlayerRowV3,34098,47,34098,Russell,Henley,False,Russell Henley,,,USA,USA,R. Henley,#0084FF,False,T37,-2,-2,5,5,-1,-1,671,29,2,+40000,DOWN,f017c658-1203-4d9b-996d-5a14c24169d0,0.0025,False,R2,70,-,-,-,UP,10,ACTIVE,DOWN,-4,-4,70,19,19,23,23,True,
PlayerRowV3,33141,48,33141,Keegan,Bradley,False,Keegan Bradley,,,USA,USA,K. Bradley,#0084FF,False,T37,-2,-2,3,3,E,0,671,31,2,+25000,DOWN,facc9964-14cb-4fd9-9ac6-1c16e19436cf,0.004,False,R2,69,-,-,-,DOWN,-5,ACTIVE,DOWN,-2,-2,69,50,50,52,52,True,
PlayerRowV3,39997,49,39997,Corey,Conners,False,Corey Conners,,,CAN,CAN,C. Conners,#0084FF,False,T37,-2,-2,2*,2,-1,-1,671,46,2,+15000,DOWN,622e04d3-169e-41ed-a064-54c85280f24b,0.0066,True,R2,70,-,-,-,UP,10,ACTIVE,DOWN,-2,-2,70,47,47,49,49,True,
PlayerRowV3,35891,50,35891,Cameron,Smith,False,Cameron Smith,,,AUS,AUS,Ca. Smith,#0084FF,False,T37,-2,-2,1,1,+1,1,671,33,2,+10000,DOWN,f3976e2b-82a1-4c70-bff1-3d430b4a3df6,0.0099,False,R2,68,-,-,-,DOWN,-19,ACTIVE,CONSTANT,-,-9999,68,-,9999,-,9999,True,
PlayerRowV3,34046,51,34046,Jordan,Spieth,False,Jordan Spieth,,,USA,USA,J. Spieth,#0084FF,False,T37,-2,-2,1,1,E,0,671,34,2,+10000,DOWN,9a7775d1-78a2-4925-a05f-1a44bdf28145,0.0099,False,R2,69,-,-,-,DOWN,-5,ACTIVE,DOWN,-1,-1,69,49,49,50,50,True,1,1,
PlayerRowV3,46628,52,46628,Jeremy,Wells,False,Jeremy Wells,,,USA,USA,J. Wells,#0084FF,False,T37,-2,-2,,0,,10000,1715975400000,671,50,2,+100000,UP,669a4ac7-1438-482b-a48f-03a9c74bfa80,0.001,True,R2,69,-,-,-,DOWN,-5,ACTIVE,CONSTANT,-,-9999,69,-,9999,-,9999,True,1,1,
PlayerRowV3,33974,53,33974,Dean,Burmester,False,Dean Burmester,,,RSA,RSA,D. Burmester,#0084FF,False,T37,-2,-2,,0,,10000,1715976360000,671,38,2,+25000,DOWN,54f94b36-7fec-4555-965f-f07b538017aa,0.004,False,R2,69,-,-,-,DOWN,-5,BETWEEN_ROUNDS,CONSTANT,-,-9999,69,-,9999,-,9999,True,
PlayerRowV3,46464,54,46464,Jordan,Smith,False,Jordan Smith,,,ENG,ENG,J. Smith,#0084FF,False,T55,-1,-1,F,19,E,0,671,2,2,False,R2,70,71,-,-,DOWN,-8,COMPLETE,CONSTANT,-,-9999,141,-,9999,-,9999,True,R2 Completed
PlayerRowV3,46402,55,46402,Talor,Gooch,False,Talor Gooch,,,USA,USA,T. Gooch,#0084FF,False,T55,-1,-1,F*,19,-1,-1,671,16,2,+75000,DOWN,d63d69dd-d1f5-47e6-8305-9996bd83cee1,0.0013,True,R2,71,70,-,-,UP,10,COMPLETE,CONSTANT,-,-9999,141,-,9999,-,9999,True,R2 Completed
PlayerRowV3,52453,56,52453,Nicolai,Højgaard,False,Nicolai Højgaard,,,DEN,DEN,N. Højgaard,#0084FF,False,T55,-1,-1,F*,19,E,0,671,17,2,+40000,DOWN,e74c127a-1b47-4143-a4eb-0cae31a42de5,0.0025,True,R2,70,71,-,-,DOWN,-8,COMPLETE,DOWN,-5,-5,141,59,59,64,64,True,R2 Completed
PlayerRowV3,45486,57,45486,Joaquin,Niemann,False,Joaquin Niemann,,,CHI,CHI,J. Niemann,#0084FF,False,T55,-1,-1,F*,19,-3,-3,671,19,2,+50000,DOWN,30a20776-9d9e-4176-a9e9-dcb750428cdd,0.002,True,R2,73,68,-,-,UP,53,COMPLETE,CONSTANT,-,-9999,141,-,9999,-,9999,True,R2 Completed
PlayerRowV3,32102,58,32102,Rickie,Fowler,False,Rickie Fowler,,,USA,USA,R. Fowler,#0084FF,False,T55,-1,-1,F*,19,-2,-2,671,21,2,+50000,DOWN,6c361d5c-cf7f-4faf-b82f-1446060262ad,0.002,True,R2,72,69,-,-,UP,30,COMPLETE,UP,+3,3,141,104,104,101,101,True,1,1,R2 Completed
PlayerRowV3,52375,59,52375,Doug,Ghim,False,Doug Ghim,,,USA,USA,D. Ghim,#0084FF,False,T55,-1,-1,6,6,+1,1,671,27,2,+40000,CONSTANT,058b26ce-f343-4ba6-9ab6-ea9b66a57434,0.0025,False,R2,69,-,-,-,DOWN,-23,ACTIVE,DOWN,-2,-2,69,75,75,77,77,True,
PlayerRowV3,36884,60,36884,Ben,Kohles,False,Ben Kohles,,,USA,USA,B. Kohles,#0084FF,False,T55,-1,-1,6*,6,+3,3,671,41,2,+100000,DOWN,55310655-4f99-4347-854a-fc5e3de149d9,0.001,True,R2,67,-,-,-,DOWN,-43,ACTIVE,DOWN,-2,-2,67,73,73,75,75,True,1,1,
PlayerRowV3,36799,61,36799,Stephan,Jaeger,False,Stephan Jaeger,,,GER,GER,S. Jaeger,#0084FF,False,T55,-1,-1,5,5,E,0,671,29,2,+40000,DOWN,f2de420c-a5a9-4b9f-96a4-5bdc29eec2fe,0.0025,False,R2,70,-,-,-,DOWN,-8,ACTIVE,DOWN,-2,-2,70,14,14,16,16,True,
PlayerRowV3,40115,62,40115,Adam,Svensson,False,Adam Svensson,,,CAN,CAN,A. Svensson,#0084FF,False,T55,-1,-1,4*,4,E,0,671,43,2,+50000,DOWN,dfbd3888-9b70-4d00-811d-d3474718ca8e,0.002,True,R2,70,-,-,-,DOWN,-8,ACTIVE,DOWN,-2,-2,70,93,93,95,95,True,
PlayerRowV3,51287,63,51287,Ryo,Hisatsune,False,Ryo Hisatsune,,,JPN,JPN,R. Hisatsune,#0084FF,False,T55,-1,-1,4*,4,-1,-1,671,43,2,+75000,DOWN,13d0c522-7c9c-4cf8-aafb-76b28fbaa29e,0.0013,True,R2,71,-,-,-,UP,10,ACTIVE,CONSTANT,-,0,71,107,107,107,107,True,
PlayerRowV3,33948,64,33948,Byeong Hun,An,False,Byeong Hun An,,,KOR,KOR,B. An,#0084FF,False,T55,-1,-1,3*,3,-1,-1,671,45,2,+40000,DOWN,dccdc339-3807-4cf9-8167-d91a0cf29577,0.0025,True,R2,71,-,-,-,UP,10,ACTIVE,DOWN,-1,-1,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,71,6,6,7,7,True,
PlayerRowV3,47347,65,47347,Adam,Schenk,False,Adam Schenk,,,USA,USA,A. Schenk,#0084FF,False,T55,-1,-1,2*,2,-1,-1,671,46,2,+75000,DOWN,5acf6b3d-fc97-40a1-9ebd-0b22a3b28d30,0.0013,True,R2,71,-,-,-,UP,10,ACTIVE,DOWN,-1,-1,71,54,54,55,55,True,
PlayerRowV3,32839,66,32839,Hideki,Matsuyama,False,Hideki Matsuyama,,,JPN,JPN,H. Matsuyama,#0084FF,False,T55,-1,-1,1,1,E,0,671,33,2,+20000,DOWN,30215b08-45b3-47eb-889a-2f6f7aa5873d,0.005,False,R2,70,-,-,-,DOWN,-8,ACTIVE,DOWN,-1,-1,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,https://res.cloudinary.com/pgatour-prod/temp/standings/profile/Comcast-Light.png,70,8,8,9,9,True,
